"Subject1Tag","Subject2Tag","RelationshipPath","Subject1ID","Subject2ID","ExtendedID","R","RFull","MathStandardized_1","HeightZGenderAge_1","MathStandardized_2","HeightZGenderAge_2"
50700,50800,"Gen1Housemates",50700,50800,507,0.5,0.5,NA,1.00236608045083,NA,0.402487170295999
51000,51100,"Gen1Housemates",51000,51100,510,NA,NA,NA,0.639069496170361,NA,0.0911142216221265
51300,51400,"Gen1Housemates",51300,51400,513,0.5,0.5,NA,-1.23681399314553,NA,-0.655040945683979
51600,51700,"Gen1Housemates",51600,51700,516,0.5,0.5,NA,0.702642734063153,NA,0.0366526545177535
51600,51800,"Gen1Housemates",51600,51800,516,0.5,0.5,NA,0.702642734063153,NA,-2.08849641909498
51700,51800,"Gen1Housemates",51700,51800,516,0.5,0.5,NA,0.0366526545177535,NA,-2.08849641909498
51600,51900,"Gen1Housemates",51600,51900,516,0.5,0.5,NA,0.702642734063153,NA,-3
51800,51900,"Gen1Housemates",51800,51900,516,0.5,0.5,NA,-2.08849641909498,NA,-3
51700,51900,"Gen1Housemates",51700,51900,516,0.5,0.5,NA,0.0366526545177535,NA,-3
52000,52100,"Gen1Housemates",52000,52100,520,0.5,0.5,NA,0.196803238227203,NA,-0.306633681377065
52000,52200,"Gen1Housemates",52000,52200,520,0.5,0.5,NA,0.196803238227203,NA,-0.087523672390585
52100,52200,"Gen1Housemates",52100,52200,520,0.5,0.5,NA,-0.306633681377065,NA,-0.087523672390585
52000,52300,"Gen1Housemates",52000,52300,520,0.5,0.5,NA,0.196803238227203,NA,-0.531631675725619
52100,52300,"Gen1Housemates",52100,52300,520,0.5,0.5,NA,-0.306633681377065,NA,-0.531631675725619
52200,52300,"Gen1Housemates",52200,52300,520,0.5,0.5,NA,-0.087523672390585,NA,-0.531631675725619
52400,52500,"Gen1Housemates",52400,52500,524,NA,NA,NA,NA,NA,NA
52600,52700,"Gen1Housemates",52600,52700,526,NA,0,NA,1.01025520132181,NA,-0.511490915977913
