"SubjectTag","Score","Age"
181801,98.5,11
181802,96,6
182401,90,13
182402,65,13
182501,93,14
182502,116,13
182503,95.5,13.5
182504,103,12
182601,105,11
182602,103,10
182801,95,9
182901,106,10
182902,105,10
182903,90,9
182904,107,8
183101,NA,NA
183102,NA,NA
183201,102,7
183202,88,11
183203,93,5
183301,91.5,13
183302,88,13
183303,89.5,9
183401,107,8
183402,NA,NA
183403,NA,NA
183801,95,10
183802,100.5,9
183803,84.5,9
183901,102,9
183902,106,8
184001,106,11
184201,110,10
184401,124,9.5
184402,118,9
184403,135,9
184404,118,9
184405,108,10
184406,104,8
184701,109,10
184801,111,9
184802,98.5,9
184901,100,7
184902,NA,NA
185201,NA,NA
185301,114,8
185302,107,10
185303,98,9
185304,111,8
185601,120.5,10
185801,120,9
185802,118.5,9.5
186201,103,10
186202,NA,NA
186203,111.5,9.5
186204,122,9
186205,96,9
186301,98,9
186302,107,9
186303,114.5,8
186501,103,9
186601,100.5,9
186801,99,9
186802,101,10
187001,100,11
187601,119.5,12
187602,99.5,9
187603,87,9
187801,96,11
187802,95,9
187803,106.5,9
188001,125,10
188002,111,10
188501,105.5,10
188502,115.5,8
188601,109,7
188602,113.5,7
189201,NA,NA
189601,112,9
189602,111,10
189801,113,8
189802,105,7
190001,113,8
190002,105,6
190003,111,7
190201,102,9
190202,108,8
190401,107,9
190402,103,9
190403,105,7.5
190501,116,9
190502,115,8
190503,114,7
190504,102,7
190601,111,7
190602,99,6
190603,115,6
190604,106.5,6
190701,NA,NA
191201,104,9
