"SubjectTag","ExtendedID","Generation","Gender","Mob","HeightInchesLateTeens","WeightPoundsLateTeens","AfqtRescaled2006","AfqtRescaled2006Gaussified","Yob","HeightZGender","HeightZGenderYob","WeightZGender","WeightZGenderYob","BmiLateTeens","Afi","Afm"
216200,2162,1,2,1963-03-15,63,120,0.836560010910034,0.980417696002772,1963,-0.42671483558938,-0.404774546689832,-0.465596327154643,-0.375374393878323,21.254724111867,15,13
216300,2163,1,1,1958-07-15,69,185,0.287299990653992,-0.561289818429761,1958,-0.304519748711986,-0.435402615613145,0.787053669398518,0.544252490487669,27.3167401806343,16,NA
216400,2164,1,2,1963-07-15,62,105,0.646279990673065,0.375296433019925,1963,-0.789739089357928,-0.752538593845887,-1.08632949091254,-1.05626442346903,19.2026534859521,17,15
216500,2165,1,2,1960-03-15,63,147,0.266350001096725,-0.623889734867961,1960,-0.42671483558938,-0.459535747245372,0.651723367609572,0.511409112925492,26.037037037037,13,15
216600,2166,1,1,1960-03-15,NA,NA,NA,NA,1960,NA,NA,NA,NA,NA,NA,NA
216700,2166,1,2,1962-05-15,66,114,0.31224998831749,-0.489482732295775,1962,0.662357925716266,0.741355857154101,-0.713889592657802,-0.64561756606124,18.3980716253444,NA,NA
216800,2168,1,1,1960-05-15,72,190,0.880209982395172,1.17603713962962,1960,0.661533760217782,0.713851331619312,0.973229903721093,0.950823725048814,25.7658179012346,17,NA
216900,2169,1,1,1961-03-15,68,160,0.680180013179779,0.468202235547534,1961,-0.626537585021909,-0.665421360956632,-0.143827502214357,-0.154287821505734,24.3252595155709,22,NA
217000,2169,1,1,1962-07-15,70,165,0.749539971351624,0.673042807900971,1962,0.0174980875979365,0.071722273487838,0.0423487321082175,0.143292627540465,23.6724489795918,18,NA
217100,2171,1,1,1961-03-15,65,135,0.254170000553131,-0.66142468273806,1961,-1.59259109395168,-1.65740474505215,-1.07470867382723,-1.12694864560102,22.4627218934911,NA,NA
217200,2172,1,1,1963-02-15,72,200,0.356370002031326,-0.368178683154003,1963,0.661533760217782,0.694939954648723,1.34558237236624,1.71254899734695,27.1219135802469,15,NA
217300,2173,1,1,1960-08-15,70,240,0.617349982261658,0.298528227254431,1960,0.0174980875979365,0.070469428720926,2.83499224694684,2.8935374504305,34.4326530612245,19,NA
217400,2174,1,2,1962-09-15,62,120,0.375459998846054,-0.317426505714457,1962,-0.789739089357928,-0.742339740176204,-0.465596327154643,-0.387690661681187,21.945889698231,17,14
217500,2175,1,2,1958-03-15,64,118,0.102470003068447,-1.26760231128646,1958,-0.0636905818208312,-0.157532566825151,-0.54836074898903,-0.588456953795314,20.25244140625,17,14
217600,2176,1,2,1961-10-15,65,103,0.419669985771179,-0.202737806380117,1961,0.299333671947717,0.328916583413967,-1.16909391274693,-1.16074122129513,17.138224852071,16,14
217700,2176,1,1,1959-09-15,70,145,NA,NA,1959,0.0174980875979365,-0.00981554368062996,-0.702356205182083,-0.791524891510816,20.8030612244898,NA,NA
217800,2178,1,1,1964-02-15,75,195,0.720049977302551,0.582989980233478,1964,1.62758726914755,1.67940101981879,1.15940613804367,1.66609996515343,24.3706666666667,17,NA
217900,2179,1,2,1964-06-15,60,118,0.0115000000223517,-2.27343465020022,1964,-1.51578759689503,-1.4822967125666,-0.54836074898903,-0.374483492618685,23.0427777777778,13,13
218000,2180,1,1,1961-11-15,72,155,0.452569991350174,-0.119170872311007,1961,0.661533760217782,0.657223151170722,-0.330003736536932,-0.348819986324791,21.0194830246914,18,NA
218100,2180,1,2,1963-07-15,62,95,0.591669976711273,0.231842885507396,1963,-0.789739089357928,-0.752538593845887,-1.50015160008447,-1.51019110986283,17.3738293444329,17,14
218200,2182,1,1,1961-09-15,76,250,0.757250010967255,0.697483953611766,1961,1.94960510545747,1.97986766329808,3.20734471559199,3.3472911452373,30.4276315789474,16,NA
218300,2183,1,1,1959-12-15,72,230,0.495590001344681,-0.011054452460423,1959,0.661533760217782,0.655934375527377,2.46263977830169,2.32856179710301,31.1902006172839,17,NA
218400,2184,1,1,1959-10-15,66,128,0.723819971084595,0.594227356694751,1959,-1.27057325764175,-1.34131538209664,-1.33535540187884,-1.41554222923358,20.6574839302112,16,NA
218500,2184,1,1,1962-03-15,70,165,0.569260001182556,0.174490498104512,1962,0.0174980875979365,0.071722273487838,0.0423487321082175,0.143292627540465,23.6724489795918,16,NA
218600,2186,1,2,1959-04-15,64,110,0.852590024471283,1.04760647920399,1959,-0.0636905818208312,-0.035929589654322,-0.879418436326575,-0.928025226902798,18.87939453125,22,12
218700,2187,1,1,1961-12-15,71,185,0.360599994659424,-0.356855494192555,1961,0.339515923907859,0.326562023138883,0.787053669398518,0.818373002589554,25.7994445546519,16,NA
218800,2187,1,1,1964-01-15,72,150,0.174569994211197,-0.936258735649757,1964,0.661533760217782,0.767931235558166,-0.516179970859508,-0.136267304623514,20.3414351851852,16,NA
218900,2189,1,1,1962-08-15,72,185,0.783609986305237,0.784443320797222,1962,0.661533760217782,0.701737244011679,0.787053669398518,0.901496249618865,25.0877700617284,16,NA
219000,2190,1,2,1960-01-15,65,143,0.229499995708466,-0.740494509587828,1960,0.299333671947717,0.272143096217036,0.486194523940799,0.356879045984612,23.7938461538462,19,12
219100,2191,1,1,1957-12-15,76,290,0.320609986782074,-0.465993750949834,1957,1.94960510545747,1.86668057260731,4.69675459017259,4.37041950271082,35.2960526315789,23,NA
219200,2192,1,1,1957-09-15,NA,NA,NA,NA,1957,NA,NA,NA,NA,NA,18,NA
219300,2192,1,2,1960-09-15,NA,NA,NA,NA,1960,NA,NA,NA,NA,NA,15,12
219400,2192,1,1,1963-09-15,68,140,0.134250000119209,-1.10652349543195,1963,-0.626537585021909,-0.543009762134425,-0.888532439504658,-0.745884451288327,21.2846020761246,NA,NA
219500,2195,1,1,1957-07-15,71,185,0.201499998569489,-0.836275385634111,1957,0.339515923907859,0.207362217732179,0.787053669398518,0.537650406334374,25.7994445546519,14,NA
219600,2195,1,2,1957-03-15,64,154,0.422250002622604,-0.196140745574688,1957,-0.0636905818208312,-0.0844052626034728,0.941398844029924,0.770280454152384,26.43115234375,17,11
219700,2197,1,1,1963-12-15,72,120,0.0944499969482422,-1.31384017719376,1963,0.661533760217782,0.694939954648723,-1.63323737679496,-1.56536226750009,16.2731481481481,17,NA
219800,2198,1,1,1959-02-15,70,145,0.388999998569489,-0.281926333318194,1959,0.0174980875979365,-0.00981554368062996,-0.702356205182083,-0.791524891510816,20.8030612244898,17,NA
219900,2198,1,2,1959-04-15,61,115,0.722370028495789,0.589896645792856,1959,-1.15276334312648,-1.07540978689485,-0.672507381740609,-0.719270557652048,21.7266863746305,18,NA
