CID,MID,CRace,CGender,height,ageht,yearht,weight,agewt,yearwt,age_ht,age_wt,htst,wtst
1212104,12121,3,1,,,,,,,,,,
1215501,12155,3,1,,,,,,,,,,
1216701,12167,3,1,,,,,,,,,,
1219101,12191,2,1,,,,,,,,,,
1219501,12195,3,1,,,,,,,,,,
1221502,12215,3,1,,,,,,,,,,
1222203,12222,2,1,,,,,,,,,,
1224901,12249,3,1,,,,,,,,,,
1225801,12258,3,1,,,,,,,,,,
1226801,12268,3,1,,,,,,,,,,
1226902,12269,1,1,,,,,,,,,,
1227201,12272,3,1,,,,,,,,,,
1230901,12309,3,1,,,,,,,,,,
1231901,12319,3,1,,,,,,,,,,
1232901,12329,3,1,,,,,,,,,,
1235902,12359,3,1,,,,,,,,,,
1237902,12379,3,1,,,,,,,,,,
1242901,12429,3,1,,,,,,,,,,
1244901,12449,3,1,,,,,,,,,,
1245703,12457,3,1,,,,,,,,,,
1246402,12464,3,1,,,,,,,,,,
1247902,12479,3,1,,,,,,,,,,
1249003,12490,3,1,,,,,,,,,,
1249502,12495,3,1,,,,,,,,,,
1249701,12497,3,1,,,,,,,,,,
1252301,12523,3,1,,,,,,,,,,
1252701,12527,3,1,,,,,,,,,,
1253603,12536,3,1,,,,,,,,,,
1254201,12542,3,1,,,,,,,,,,
1255403,12554,3,1,,,,,,,,,,
1257101,12571,3,1,,,,,,,,,,
1257201,12572,3,1,,,,,,,,,,
1257401,12574,2,1,,,,,,,,,,
1257501,12575,3,1,,,,,,,,,,
1260801,12608,3,1,,,,,,,,,,
1261901,12619,3,1,,,,,,,,,,
1262202,12622,3,1,,,,,,,,,,
1262302,12623,3,1,,,,,,,,,,
1262702,12627,3,1,,,,,,,,,,
1266501,12665,2,1,,,,,,,,,,
1266601,12666,3,1,,,,,,,,,,
1266602,12666,3,1,,,,,,,,,,
1267101,12671,2,1,,,,,,,,,,
1267102,12671,2,1,,,,,,,,,,
1267202,12672,3,1,,,,,,,,,,
1267501,12675,3,1,,,,,,,,,,
111701,1117,1,1,22,0,1990,,,,0,,,
806602,8066,3,1,25,0,1988,,,,0,,,
1202,12,3,1,31,1,1994,,,,1,,,
113602,1136,1,1,29,1,1998,,,,1,,,
181402,1814,1,1,24,1,1998,,,,1,,,
371702,3717,3,1,30,1,1998,,,,1,,,
466002,4660,3,1,30,1,1996,,,,1,,,
520101,5201,3,1,27,1,1998,,,,1,,,
586803,5868,1,1,30,1,1998,,,,1,,,
614602,6146,2,1,30,1,1994,,,,1,,,
640903,6409,2,1,27,1,1988,,,,1,,,
767102,7671,2,1,31,1,1998,,,,1,,,
771302,7713,2,1,29,1,1994,,,,1,,,
805401,8054,3,1,29,1,1988,,,,1,,,
806601,8066,3,1,32,1,1988,,,,1,,,
817204,8172,3,1,33,1,1988,,,,1,,,
872101,8721,3,1,31,1,1988,,,,1,,,
946602,9466,3,1,28,1,1988,,,,1,,,
86701,867,3,1,36,2,1998,,,,2,,,
113303,1133,3,1,31,2,1996,,,,2,,,
244404,2444,3,1,34,2,2000,,,,2,,,
469402,4694,3,1,30,2,1996,,,,2,,,
799002,7990,1,1,30,2,1998,,,,2,,,
818902,8189,1,1,36,2,1990,,,,2,,,
882102,8821,3,1,35,2,1988,,,,2,,,
908402,9084,3,1,32,2,1988,,,,2,,,
992001,9920,2,1,30,2,1996,,,,2,,,
1049601,10496,3,1,36,2,1988,,,,2,,,
99804,998,3,1,37,3,1998,,,,3,,,
172603,1726,3,1,35,3,1996,,,,3,,,
286901,2869,3,1,38,3,1998,,,,3,,,
640902,6409,2,1,36,3,1988,,,,3,,,
776001,7760,1,1,30,3,1996,,,,3,,,
113601,1136,1,1,38,4,1998,,,,4,,,
119501,1195,2,1,46,4,2000,,,,4,,,
125403,1254,3,1,38,4,1996,,,,4,,,
125404,1254,3,1,37,4,1996,,,,4,,,
372703,3727,3,1,43,4,2000,,,,4,,,
407401,4074,3,1,38,4,1998,,,,4,,,
407402,4074,3,1,40,4,1998,,,,4,,,
795202,7952,1,1,53,4,1996,,,,4,,,
1197906,11979,1,1,34,4,1998,,,,4,,,
1201,12,3,1,46,5,1994,,,,5,,,
127001,1270,2,1,41,5,1998,,,,5,,,
154403,1544,3,1,41,5,1996,,,,5,,,
445702,4457,3,1,42,5,1998,,,,5,,,
517101,5171,1,1,44,5,1994,,,,5,,,
573401,5734,1,1,42,5,1998,,,,5,,,
687002,6870,2,1,43,5,1998,,,,5,,,
1202802,12028,3,1,46,5,1998,,,,5,,,
130502,1305,3,1,46,6,1998,,,,6,,,
292604,2926,3,1,54,6,2000,,,,6,,,
319003,3190,2,1,48,6,2000,,,,6,,,
420305,4203,2,1,43,6,2000,,,,6,,,
839104,8391,1,1,44,6,1998,,,,6,,,
851402,8514,2,1,48,6,1998,,,,6,,,
967201,9672,2,1,49,6,1998,,,,6,,,
1206302,12063,3,1,45,6,1998,,,,6,,,
130403,1304,3,1,49,7,2000,,,,7,,,
455304,4553,3,1,47,7,2000,,,,7,,,
953203,9532,1,1,48,7,1998,,,,7,,,
1049402,10494,3,1,49,7,1988,,,,7,,,
167102,1671,3,1,51,8,1992,,,,8,,,
450502,4505,3,1,50,8,1990,,,,8,,,
606101,6061,2,1,47,8,1996,,,,8,,,
757402,7574,1,1,50,10,1998,,,,10,,-1.767792434,
801702,8017,3,1,53,10,1988,,,,10,,-0.680678359,
805701,8057,2,1,57,10,1988,,,,10,,0.768807074,
61801,618,3,1,59,11,1988,,,,11,,0.630438693,
193401,1934,3,1,54,11,1996,,,,11,,-0.654544987,
757401,7574,1,1,60,12,1998,,,,12,,0.264556411,
