"","Subject2Tag","Subject1Tag","R","MultipleBirth","Race_1","Gender_1","HtSt19to25_1","AgeHt_1","Bmi_1","Afi_1","Afm_1","Afd_1","MathStd_1","ReadRecStd_1","Race_2","Gender_2","HtSt19to25_2","AgeHt_2","Bmi_2","Afi_2","Afm_2","Afd_2","MathStd_2","ReadRecStd_2"
"9308",957502,957501,0.5,0,1,1,-1.418095311,32,24.69214876,15,NA,15,84,95,1,1,-0.111181095,31,27.46439824,16,NA,12,81,90
"9309",957503,957501,0.5,0,1,1,-1.418095311,32,24.69214876,15,NA,15,84,95,1,2,-1.575591062,25,22.45694444,15,12,15,102,92
"9310",957503,957502,0.5,0,1,1,-0.111181095,31,27.46439824,16,NA,12,81,90,1,2,-1.575591062,25,22.45694444,15,12,15,102,92
"9311",957504,957501,0.25,0,1,1,-1.418095311,32,24.69214876,15,NA,15,84,95,1,1,NA,NA,NA,NA,NA,NA,75,125
"9312",957504,957502,0.25,0,1,1,-0.111181095,31,27.46439824,16,NA,12,81,90,1,1,NA,NA,NA,NA,NA,NA,75,125
"9313",957504,957503,0.25,0,1,2,-1.575591062,25,22.45694444,15,12,15,102,92,1,1,NA,NA,NA,NA,NA,NA,75,125
"9314",957602,957601,0.5,0,1,1,NA,NA,NA,NA,NA,NA,90,90,1,2,NA,NA,NA,NA,NA,NA,110,125
"9315",957603,957601,0.5,0,1,1,NA,NA,NA,NA,NA,NA,90,90,1,2,NA,NA,NA,NA,NA,NA,120,120
"9316",957603,957602,1,2,1,2,NA,NA,NA,NA,NA,NA,110,125,1,2,NA,NA,NA,NA,NA,NA,120,120
"9317",957802,957801,0.5,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,-0.111181095,26,25.8244898,NA,NA,17,105,113
"9318",957803,957801,0.25,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1.901329387,25,21.52040816,NA,15,14,116,122
"9319",957803,957802,0.5,0,1,1,-0.111181095,26,25.8244898,NA,NA,17,105,113,1,2,1.901329387,25,21.52040816,NA,15,14,116,122
"9320",957804,957801,0.25,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,-0.764638203,21,26.6057526,18,NA,13,95,88
"9321",957804,957802,0.5,0,1,1,-0.111181095,26,25.8244898,NA,NA,17,105,113,1,1,-0.764638203,21,26.6057526,18,NA,13,95,88
"9322",957804,957803,0.5,0,1,2,1.901329387,25,21.52040816,NA,15,14,116,122,1,1,-0.764638203,21,26.6057526,18,NA,13,95,88
"9323",957805,957801,0.5,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,17,22.14870826,NA,NA,13,123,116
"9324",957805,957804,0.25,0,1,1,-0.764638203,21,26.6057526,18,NA,13,95,88,1,1,NA,17,22.14870826,NA,NA,13,123,116
"9325",957805,957802,0.25,0,1,1,-0.111181095,26,25.8244898,NA,NA,17,105,113,1,1,NA,17,22.14870826,NA,NA,13,123,116
"9326",957805,957803,0.25,0,1,2,1.901329387,25,21.52040816,NA,15,14,116,122,1,1,NA,17,22.14870826,NA,NA,13,123,116
"9327",957806,957801,0.25,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,12,NA,114,105
"9328",957806,957803,0.25,0,1,2,1.901329387,25,21.52040816,NA,15,14,116,122,1,2,NA,NA,NA,NA,12,NA,114,105
"9329",957806,957802,0.25,0,1,1,-0.111181095,26,25.8244898,NA,NA,17,105,113,1,2,NA,NA,NA,NA,12,NA,114,105
"9330",957806,957804,0.25,0,1,1,-0.764638203,21,26.6057526,18,NA,13,95,88,1,2,NA,NA,NA,NA,12,NA,114,105
"9331",957806,957805,0.5,0,1,1,NA,17,22.14870826,NA,NA,13,123,116,1,2,NA,NA,NA,NA,12,NA,114,105
"9332",957902,957901,0.5,0,1,2,NA,18,20.17332415,NA,14,14,95,102,1,1,NA,15,19.66338735,NA,NA,12,104,135
"9333",958202,958201,0.5,0,2,2,NA,18,25.84015963,NA,12,13,106,110,2,2,NA,NA,18.63573965,NA,12,NA,116,116
"9334",959302,959301,0.5,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"9335",959303,959301,0.5,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"9336",959303,959302,0.5,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"9337",959402,959401,0.5,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"9338",959602,959601,0.75,2,3,2,NA,7,NA,NA,NA,NA,119,131,3,2,NA,7,NA,NA,NA,NA,109,131
