"","Subject2Tag","Subject1Tag","R","MultipleBirth","Race_1","Gender_1","HtSt19to25_1","AgeHt_1","Bmi_1","Afi_1","Afm_1","Afd_1","MathStd_1","ReadRecStd_1","Race_2","Gender_2","HtSt19to25_2","AgeHt_2","Bmi_2","Afi_2","Afm_2","Afd_2","MathStd_2","ReadRecStd_2"
"1470",165003,165001,0.25,0,1,2,-0.880206972,25,32.00442248,15,11,13,87,93,1,1,NA,16,18.12933942,NA,NA,NA,108,128
"1471",165003,165002,0.25,0,1,2,NA,NA,NA,NA,NA,NA,95,103,1,1,NA,16,18.12933942,NA,NA,NA,108,128
"1472",165004,165001,0.25,0,1,2,-0.880206972,25,32.00442248,15,11,13,87,93,1,2,NA,NA,20.19534617,NA,NA,NA,118,107
"1473",165004,165002,0.25,0,1,2,NA,NA,NA,NA,NA,NA,95,103,1,2,NA,NA,20.19534617,NA,NA,NA,118,107
"1474",165004,165003,0.5,0,1,1,NA,16,18.12933942,NA,NA,NA,108,128,1,2,NA,NA,20.19534617,NA,NA,NA,118,107
"1475",165005,165001,0.25,0,1,2,-0.880206972,25,32.00442248,15,11,13,87,93,1,2,NA,NA,NA,NA,NA,NA,91,103
"1476",165005,165004,0.5,0,1,2,NA,NA,20.19534617,NA,NA,NA,118,107,1,2,NA,NA,NA,NA,NA,NA,91,103
"1477",165005,165002,0.25,0,1,2,NA,NA,NA,NA,NA,NA,95,103,1,2,NA,NA,NA,NA,NA,NA,91,103
"1478",165005,165003,0.5,0,1,1,NA,16,18.12933942,NA,NA,NA,108,128,1,2,NA,NA,NA,NA,NA,NA,91,103
"1479",165006,165001,0.25,0,1,2,-0.880206972,25,32.00442248,15,11,13,87,93,1,2,NA,NA,NA,NA,NA,NA,96,102
"1480",165006,165003,0.25,0,1,1,NA,16,18.12933942,NA,NA,NA,108,128,1,2,NA,NA,NA,NA,NA,NA,96,102
"1481",165006,165002,NA,0,1,2,NA,NA,NA,NA,NA,NA,95,103,1,2,NA,NA,NA,NA,NA,NA,96,102
"1482",165006,165004,0.25,0,1,2,NA,NA,20.19534617,NA,NA,NA,118,107,1,2,NA,NA,NA,NA,NA,NA,96,102
"1483",165006,165005,0.25,0,1,2,NA,NA,NA,NA,NA,NA,91,103,1,2,NA,NA,NA,NA,NA,NA,96,102
"1484",165502,165501,0.5,0,3,1,-0.437909649,20,25.10186936,16,NA,12,89,102,3,2,0.858253252,19,25.05680553,NA,12,14,94,87
"1485",165602,165601,0.5,0,3,2,-0.184822883,22,36.90063477,16,12,13,104,107,3,1,NA,16,21.28460208,NA,NA,13,105,105
"1486",165702,165701,0.5,0,3,1,NA,17,25.84558824,NA,NA,NA,78,75,3,1,NA,NA,20.52189391,NA,NA,NA,98,94
"1487",165802,165801,0.5,0,3,2,NA,NA,26.82773448,NA,13,NA,113,120,3,1,NA,NA,NA,NA,NA,NA,116,111
"1488",166202,166201,0.25,0,3,1,0.869004566,26,24.82324936,15,NA,14,94,116,3,2,NA,NA,NA,NA,NA,NA,118,131
"1489",166602,166601,0.5,0,1,2,0.162869162,21,24.95857988,18,13,15,90,105,1,2,-1.575591062,19,29.29166667,NA,11,13,88,110
